entry_time,direction,entry,stop,target,exit_price,exit_time,outcome,r_multiple,pnl,confidence,zone_type
2023-04-06 14:05:00,short,2005.965,2006.282642857143,2001.0,2006.282642857143,2023-04-06 14:10:00,loss,-1.0,-198.44640519144548,2,CISD+zone
2023-04-12 13:45:00,short,2003.905,2004.3439214285713,2001.225,2004.3439214285713,2023-04-12 13:55:00,loss,-1.0,-197.45417316548824,3,CISD+FVG
2023-04-26 14:10:00,short,2001.105,2001.3124928571428,1999.708,1999.708,2023-04-26 14:15:00,win,6.732761885091453,2645.529742970285,4,CISD+IFVG
2023-04-27 07:40:00,short,2000.315,2001.1014714285714,1997.185,1997.185,2023-04-27 09:25:00,win,3.9798012824013673,1669.0852860802695,5,CISD+BKR
2023-05-01 14:25:00,short,1988.565,1989.0368357142856,1986.774,1986.774,2023-05-01 14:30:00,win,3.7958127072087717,827.6389170649169,2,CISD+zone
2023-05-09 08:25:00,short,2022.255,2022.2266785714287,2021.725,2022.2266785714287,2023-05-09 08:30:00,loss,1.0,222.17817203023816,2,CISD+zone
2023-05-10 14:35:00,short,2031.314,2033.3828071428572,2019.344,2033.3828071428572,2023-05-10 18:45:00,loss,-1.0,-223.28906289038937,2,CISD+zone
2023-05-12 08:55:00,short,2006.654,2006.6785214285715,2005.595,2006.6785214285715,2023-05-12 09:00:00,loss,-1.0,-222.17261757593738,2,CISD+zone
2023-05-15 14:50:00,short,2013.754,2015.0666428571428,2008.595,2015.0666428571428,2023-05-15 14:55:00,loss,-1.0,-442.12350897611543,4,CISD+IFVG
2023-05-16 14:45:00,short,2003.574,2003.4279928571427,2001.124,2003.4279928571427,2023-05-16 14:50:00,loss,1.0,218.85113694317712,2,CISD+zone
2023-05-19 13:40:00,short,1959.384,1959.6491571428571,1957.695,1959.6491571428571,2023-05-19 13:45:00,loss,-1.0,-219.94539262789303,3,CISD+FVG
2023-05-22 09:45:00,short,1979.745,1979.853557142857,1978.365,1979.853557142857,2023-05-22 10:00:00,loss,-1.0,-218.84566566475354,3,CISD+FVG
2023-05-24 14:05:00,short,1970.805,1970.892407142857,1966.788,1966.788,2023-05-24 14:20:00,win,45.957342485954946,10007.27738247926,2,CISD+zone
2023-05-25 12:20:00,short,1960.575,1960.4630714285715,1959.915,1959.915,2023-05-25 12:25:00,win,5.896617740910316,1579.0424352654018,3,CISD+FVG
2023-05-29 13:50:00,short,1946.155,1946.5717857142856,1944.275,1946.5717857142856,2023-05-29 14:00:00,loss,-1.0,-551.3660728503062,5,CISD+BKR
2023-05-31 07:00:00,short,1959.005,1959.9431571428572,1953.498,1959.9431571428572,2023-05-31 11:35:00,loss,-1.0,-272.92620606090156,2,CISD+zone
2023-06-02 07:40:00,short,1977.025,1976.996707142857,1976.885,1976.885,2023-06-02 07:45:00,win,4.948245392553599,1343.7533124397503,2,CISD+zone
2023-06-02 08:10:00,short,1975.495,1975.5729571428571,1974.905,1975.5729571428571,2023-06-02 08:15:00,loss,-1.0,-278.28034159279576,2,CISD+zone
2023-06-02 12:35:00,short,1976.858,1976.1220428571428,1973.945,1973.945,2023-06-02 12:40:00,win,3.958110914843567,1095.9571351576171,2,CISD+zone
